,nonsense,arabic,english 
0,لا 0000000,لا ,no
1,من 0000000,من ,From
2,في 0000000,في ,in
3,أن 0000000,أن ,that
4,هذا 0000000,هذا ,this
5,على 0000000,على ,on me
6,ما 0000000,ما ,What
7,أنا 000000,أنا ,I
8,هل 000000,هل ,Do you
9,و 000000,و ,And the
10,يا 000000,يا ,Hey
11,ذلك 000000,ذلك ,that
12,لقد 000000,لقد ,lhave
13,لم 000000,لم ,did not
14,ماذا 000000,ماذا ,what
15,هنا 000000,هنا ,over here
16,كان 000000,كان ,It was
17,أنت 000000,أنت ,You are
18,إلى 000000,إلى ,to me
19,هو 000000,هو ,he is
20,هذه 000000,هذه ,this is
21,عن 000000,عن ,About
22,ان 000000,ان ,that
23,نعم 000000,نعم ,yes
24,هناك 000000,هناك ,there
25,كل 000000,كل ,All
26,ليس 000000,ليس ,Not
27,كنت 000000,كنت ,I was
28,فقط 000000,فقط ,Just
29,الآن 000000,الآن ,right Now
30,مع 000000,مع ,with
31,شيء 000000,شيء ,something
32,الذي 000000,الذي ,that
33,لكن 000000,لكن ,but
34,يجب 000000,يجب ,Should
35,لك 000000,لك ,for you
36,لن 000000,لن ,will not
37,كيف 000000,كيف ,How
38,أجل 000000,أجل ,Yes
39,انا 000000,انا ,I
40,حسنا 000000,حسنا ,Good
41,فى 000000,فى ,in
42,لي 000000,لي ,Mine
43,نحن 000000,نحن ,we
44,سوف 000000,سوف ,Will
45,إنه 000000,إنه ,it's a
46,كانت 000000,كانت ,she was
47,عندما 000000,عندما ,When
48,إذا 000000,إذا ,if
49,لماذا 000000,لماذا ,Why
50,أي 000000,أي ,Which
51,قد 000000,قد ,may be
52,أنه 000000,أنه ,it's a
53,الأمر 000000,الأمر ,Order
54,هي 000000,هي ,she
55,بعد 000000,بعد ,distance
56,كذلك 000000,كذلك ,like that
57,حتى 000000,حتى ,until
58,انه 000000,انه ,it's a
59,قبل 000000,قبل ,Before
60,أو 000000,أو ,or
61,لو 000000,لو ,if
62,أين 000000,أين ,where
63,التي 000000,التي ,that
64,الى 000000,الى ,to me
65,ولكن 000000,ولكن ,But
66,هيا 000000,هيا ,Come on
67,تلك 000000,تلك ,That
68,ربما 000000,ربما ,Probably
69,إنها 000000,إنها ,that it
70,أعرف 000000,أعرف ,I know
71,بعض 000000,بعض ,some
72,يكون 000000,يكون ,is being
73,ـ 000000,ـ ,-
74,أريد 000000,أريد ,I Wanna
75,انت 000000,انت ,you
76,إن 000000,إن ,that
77,أعتقد 000000,أعتقد ,I believe
78,مثل 000000,مثل ,Such as
79,عليك 000000,عليك ,upon you
80,به 000000,به ,with it
81,بخير 000000,بخير ,Fine
82,أنك 000000,أنك ,You are
83,صحيح 000000,صحيح ,Right
84,الوقت 000000,الوقت ,the time
85,أحد 000000,أحد ,One
86,شخص 000000,شخص ,person
87,رجل 000000,رجل ,man
88,أعلم 000000,أعلم ,Know
89,جيد 000000,جيد ,Good
90,أكثر 000000,أكثر ,more
91,تكون 000000,تكون ,Formation
92,علي 000000,علي ,On
93,يمكن 000000,يمكن ,Can
94,لذا 000000,لذا ,So
95,كما 000000,كما ,as such
96,اليوم 000000,اليوم ,today
97,يبدو 000000,يبدو ,It seems
98,أليس 000000,أليس ,Alice
99,انها 000000,انها ,that it
100,يمكنك 000000,يمكنك ,you may
101,لدي 000000,لدي ,I have
102,كلا 000000,كلا ,both
103,آخر 000000,آخر ,else
104,عليه 000000,عليه ,on him
105,منذ 000000,منذ ,Ago
106,لست 000000,لست ,Prejudice
107,غير 000000,غير ,not
108,أيها 000000,أيها ,O you
109,لديك 000000,لديك ,You have
110,تريد 000000,تريد ,You want
111,أستطيع 000000,أستطيع ,I can
112,الرجل 000000,الرجل ,the man
113,تعرف 000000,تعرف ,to get to know
114,له 000000,له ,for him
115,مرة 000000,مرة ,Once
116,بأن 00000,بأن ,That
117,لدينا 00000,لدينا ,we've got
118,واحد 00000,واحد ,One
119,شئ 00000,شئ ,a thing
120,يمكنني 00000,يمكنني ,I can
121,أنها 00000,أنها ,that it
122,حدث 00000,حدث ,Event
123,بها 00000,بها ,In
124,الناس 00000,الناس ,People
125,ليست 00000,ليست ,Not
126,سيكون 00000,سيكون ,Will be
127,أوه 00000,أوه ,Oh
128,أنني 00000,أنني ,I am
129,أفضل 00000,أفضل ,better
130,مكان 00000,مكان ,place
131,تفعل 00000,تفعل ,are doing
132,سيدي 00000,سيدي ,my lord
133,يكن 00000,يكن ,Be
134,الكثير 00000,الكثير ,Lots
135,اذا 00000,اذا ,if
136,بهذا 00000,بهذا ,by this
137,وقت 00000,وقت ,time
138,جدا 00000,جدا ,very
139,بي 00000,بي ,with me
140,علينا 00000,علينا ,We
141,أخرى 00000,أخرى ,Others
142,رائع 00000,رائع ,Fabulous
143,آسف 00000,آسف ,Sorry
144,بذلك 00000,بذلك ,Thus
145,بك 00000,بك ,Infection
146,كم 00000,كم ,how much
147,وأنا 00000,وأنا ,Me
148,يوجد 00000,يوجد ,exist
149,يحدث 00000,يحدث ,is happening
150,واحدة 00000,واحدة ,one
151,قلت 00000,قلت ,I said
152,ثم 00000,ثم ,then
153,يوم 00000,يوم ,day
154,سيد 00000,سيد ,Mr
155,مرحبا 00000,مرحبا ,Welcome
156,معك 00000,معك ,With you
157,شكرا 00000,شكرا ,Thanks
158,أبي 00000,أبي ,My Father
159,معي 00000,معي ,with me
160,ولا 00000,ولا ,Nor
161,تعلم 00000,تعلم ,Learn
162,لها 00000,لها ,to her
163,بالطبع 00000,بالطبع ,naturally
164,إذن 00000,إذن ,So
165,الليلة 00000,الليلة ,Tonight
166,العمل 00000,العمل ,the work
167,المكان 00000,المكان ,the place
168,لهذا 00000,لهذا ,For this
169,إلهي 00000,إلهي ,divine
170,فعل 00000,فعل ,an act
171,ألا 00000,ألا ,Except
172,هكذا 00000,هكذا ,thus
173,الان 00000,الان ,right Now
174,تم 00000,تم ,It was completed
175,الحقيقة 00000,الحقيقة ,the truth
176,أمي 00000,أمي ,Mom
177,لـ 00000,لـ ,For
178,حول 00000,حول ,Around
179,بما 00000,بما ,In
180,لذلك 00000,لذلك ,So
181,حقا 00000,حقا ,truly
182,لديه 00000,لديه ,he have
183,الجميع 00000,الجميع ,everybody
184,يمكننا 00000,يمكننا ,We can
185,لنا 00000,لنا ,Our
186,حال 00000,حال ,State
187,لأن 00000,لأن ,because
188,بالتأكيد 00000,بالتأكيد ,surely
189,خلال 00000,خلال ,During
