nonsense,arabic,english 
لا 0000000,لا ,no
من 0000000,من ,From
في 0000000,في ,in
أن 0000000,أن ,that
هذا 0000000,هذا ,this
على 0000000,على ,on me
ما 0000000,ما ,What
أنا 000000,أنا ,I
هل 000000,هل ,Do you
و 000000,و ,And the
يا 000000,يا ,Hey
ذلك 000000,ذلك ,that
لقد 000000,لقد ,lhave
لم 000000,لم ,did not
ماذا 000000,ماذا ,what
هنا 000000,هنا ,over here
كان 000000,كان ,It was
أنت 000000,أنت ,You are
إلى 000000,إلى ,to me
هو 000000,هو ,he is
هذه 000000,هذه ,this is
عن 000000,عن ,About
ان 000000,ان ,that
نعم 000000,نعم ,yes
هناك 000000,هناك ,there
كل 000000,كل ,All
ليس 000000,ليس ,Not
كنت 000000,كنت ,I was
فقط 000000,فقط ,Just
الآن 000000,الآن ,right Now
مع 000000,مع ,with
شيء 000000,شيء ,something
الذي 000000,الذي ,that
لكن 000000,لكن ,but
يجب 000000,يجب ,Should
لك 000000,لك ,for you
لن 000000,لن ,will not
كيف 000000,كيف ,How
أجل 000000,أجل ,Yes
انا 000000,انا ,I
حسنا 000000,حسنا ,Good
فى 000000,فى ,in
لي 000000,لي ,Mine
نحن 000000,نحن ,we
سوف 000000,سوف ,Will
إنه 000000,إنه ,it's a
كانت 000000,كانت ,she was
عندما 000000,عندما ,When
إذا 000000,إذا ,if
لماذا 000000,لماذا ,Why
أي 000000,أي ,Which
قد 000000,قد ,may be
أنه 000000,أنه ,it's a
الأمر 000000,الأمر ,Order
هي 000000,هي ,she
بعد 000000,بعد ,distance
كذلك 000000,كذلك ,like that
حتى 000000,حتى ,until
انه 000000,انه ,it's a
قبل 000000,قبل ,Before
أو 000000,أو ,or
لو 000000,لو ,if
أين 000000,أين ,where
التي 000000,التي ,that
الى 000000,الى ,to me
ولكن 000000,ولكن ,But
هيا 000000,هيا ,Come on
تلك 000000,تلك ,That
ربما 000000,ربما ,Probably
إنها 000000,إنها ,that it
أعرف 000000,أعرف ,I know
بعض 000000,بعض ,some
يكون 000000,يكون ,is being
ـ 000000,ـ ,-
أريد 000000,أريد ,I Wanna
انت 000000,انت ,you
إن 000000,إن ,that
أعتقد 000000,أعتقد ,I believe
مثل 000000,مثل ,Such as
عليك 000000,عليك ,upon you
به 000000,به ,with it
بخير 000000,بخير ,Fine
أنك 000000,أنك ,You are
صحيح 000000,صحيح ,Right
الوقت 000000,الوقت ,the time
أحد 000000,أحد ,One
شخص 000000,شخص ,person
رجل 000000,رجل ,man
أعلم 000000,أعلم ,Know
جيد 000000,جيد ,Good
أكثر 000000,أكثر ,more
تكون 000000,تكون ,Formation
علي 000000,علي ,On
يمكن 000000,يمكن ,Can
لذا 000000,لذا ,So
كما 000000,كما ,as such
اليوم 000000,اليوم ,today
يبدو 000000,يبدو ,It seems
أليس 000000,أليس ,Alice
انها 000000,انها ,that it
يمكنك 000000,يمكنك ,you may
لدي 000000,لدي ,I have
كلا 000000,كلا ,both
آخر 000000,آخر ,else
عليه 000000,عليه ,on him
منذ 000000,منذ ,Ago
لست 000000,لست ,Prejudice
غير 000000,غير ,not
أيها 000000,أيها ,O you
لديك 000000,لديك ,You have
تريد 000000,تريد ,You want
أستطيع 000000,أستطيع ,I can
الرجل 000000,الرجل ,the man
تعرف 000000,تعرف ,to get to know
له 000000,له ,for him
مرة 000000,مرة ,Once
بأن 00000,بأن ,That
لدينا 00000,لدينا ,we've got
واحد 00000,واحد ,One
شئ 00000,شئ ,a thing
يمكنني 00000,يمكنني ,I can
أنها 00000,أنها ,that it
حدث 00000,حدث ,Event
بها 00000,بها ,In
الناس 00000,الناس ,People
ليست 00000,ليست ,Not
سيكون 00000,سيكون ,Will be
أوه 00000,أوه ,Oh
أنني 00000,أنني ,I am
أفضل 00000,أفضل ,better
مكان 00000,مكان ,place
تفعل 00000,تفعل ,are doing
سيدي 00000,سيدي ,my lord
يكن 00000,يكن ,Be
الكثير 00000,الكثير ,Lots
اذا 00000,اذا ,if
بهذا 00000,بهذا ,by this
وقت 00000,وقت ,time
جدا 00000,جدا ,very
بي 00000,بي ,with me
علينا 00000,علينا ,We
أخرى 00000,أخرى ,Others
رائع 00000,رائع ,Fabulous
آسف 00000,آسف ,Sorry
بذلك 00000,بذلك ,Thus
بك 00000,بك ,Infection
كم 00000,كم ,how much
وأنا 00000,وأنا ,Me
يوجد 00000,يوجد ,exist
يحدث 00000,يحدث ,is happening
واحدة 00000,واحدة ,one
قلت 00000,قلت ,I said
ثم 00000,ثم ,then
يوم 00000,يوم ,day
سيد 00000,سيد ,Mr
مرحبا 00000,مرحبا ,Welcome
معك 00000,معك ,With you
شكرا 00000,شكرا ,Thanks
أبي 00000,أبي ,My Father
معي 00000,معي ,with me
ولا 00000,ولا ,Nor
تعلم 00000,تعلم ,Learn
لها 00000,لها ,to her
بالطبع 00000,بالطبع ,naturally
إذن 00000,إذن ,So
الليلة 00000,الليلة ,Tonight
العمل 00000,العمل ,the work
المكان 00000,المكان ,the place
لهذا 00000,لهذا ,For this
إلهي 00000,إلهي ,divine
فعل 00000,فعل ,an act
